1|8C-99-B9-92-49-DF|permanent
851859535223980103|02-50-0F-F1-EF-B5|permanent
714937110179872852|00-E0-4C-FA-E1-B3|permanent
335907853736869899|10-FF-E0-F0-06-48|2025-10-29
1000260053930086520|02-74-E6-24-AE-23|2025-08-15
930898924326252626|3C-7C-3F-2A-1B-50|2025-08-16
1249513830711824457|00-E0-4F-2F-60-4A|2025-08-18
843935862801694751|00-45-E2-E8-F7-11|2025-08-20
1096916790245859369|00-E0-4C-27-73-82|2025-08-21
1369463851627712623|00-FF-04-58-38-1D|2025-08-22
861275170212020234|00-F1-F3-CC-02-15|2025-09-03
1402402390614999152|00-E0-4C-1A-B2-10|2025-09-03
402966902831448065|9C-5C-8E-51-22-16|2025-09-05
1351547288283123713|00-E0-4C-BE-00-57|2025-09-08
694208351629737995|38-8C-50-67-AD-FF|2025-09-10
1366998454496268308|00-E0-4C-68-00-08|2025-09-14
